ID;Data Campionamento;ORA Campionamento;Valore;Tipo Grandezza
PDM1;20/07/2023;00:00:00;0.0247999992370605;Pressione a valle
PDM2;20/07/2023;00:00:00;0.0243999996185303;Pressione a valle
PDM3;20/07/2023;00:00:00;0.0237999992370605;Pressione a valle
PDM4;20/07/2023;00:00:00;0.0238999996185303;Pressione a valle
PDM5;20/07/2023;00:00:00;0.0246000003814697;Pressione a valle
PDM6;20/07/2023;00:00:00;0.0236000003814697;Pressione a valle
PDM7;20/07/2023;00:00:00;0.0233999996185303;Pressione a valle
PDM8;20/07/2023;00:00:00;0.0232999992370605;Pressione a valle
PDM9;20/07/2023;00:00:00;0.0237000007629395;Pressione a valle
PDM10;20/07/2023;00:00:00;0.0247000007629395;Pressione a valle
PDM11;20/07/2023;00:00:00;0.0252999992370605;Pressione a valle
PDM12;20/07/2023;00:00:00;0.0246000003814697;Pressione a valle
PDM13;20/07/2023;00:00:00;0.0242999992370605;Pressione a valle
PDM14;20/07/2023;00:00:00;0.0389000015258789;Pressione a valle
PDM15;20/07/2023;00:00:00;0.0247000007629395;Pressione a valle
PDM16;20/07/2023;00:00:00;0.0237999992370605;Pressione a valle
PDM17;20/07/2023;00:00:00;0.023;Pressione a valle
PDM18;20/07/2023;00:00:00;0.0237999992370605;Pressione a valle
PDM19;20/07/2023;00:00:00;0.0417999992370605;Pressione a valle
PDM20;20/07/2023;00:00:00;0.0389000015258789;Pressione a valle
PDM21;20/07/2023;00:00:00;0.0380999984741211;Pressione a valle
PDM22;20/07/2023;00:00:00;0.0392000007629395;Pressione a valle
PDM23;20/07/2023;00:00:00;0.0399000015258789;Pressione a valle
PDM24;20/07/2023;00:00:00;0.0394000015258789;Pressione a valle
PDM25;20/07/2023;00:00:00;0.0375;Pressione a valle
PDM26;20/07/2023;00:00:00;0.0251000003814697;Pressione a valle
PDM27;20/07/2023;00:00:00;0.0245;Pressione a valle
PDM1;20/07/2023;00:00:00;293.919994354248;Temperatura Ambiente
PDM2;20/07/2023;00:00:00;293.589994430542;Temperatura Ambiente
PDM3;20/07/2023;00:00:00;294.939994812012;Temperatura Ambiente
PDM4;20/07/2023;00:00:00;294.159994125366;Temperatura Ambiente
PDM5;20/07/2023;00:00:00;297.72999382019;Temperatura Ambiente
PDM6;20/07/2023;00:00:00;294.019994735718;Temperatura Ambiente
PDM7;20/07/2023;00:00:00;294.07999420166;Temperatura Ambiente
PDM8;20/07/2023;00:00:00;294.449993133545;Temperatura Ambiente
PDM9;20/07/2023;00:00:00;296.57999420166;Temperatura Ambiente
PDM10;20/07/2023;00:00:00;294.699993133545;Temperatura Ambiente
PDM11;20/07/2023;00:00:00;293.97999382019;Temperatura Ambiente
PDM12;20/07/2023;00:00:00;295.57999420166;Temperatura Ambiente
PDM13;20/07/2023;00:00:00;296.009994506836;Temperatura Ambiente
PDM14;20/07/2023;00:00:00;297.379993438721;Temperatura Ambiente
PDM15;20/07/2023;00:00:00;294.699993133545;Temperatura Ambiente
PDM16;20/07/2023;00:00:00;298.489994049072;Temperatura Ambiente
PDM17;20/07/2023;00:00:00;303.919994354248;Temperatura Ambiente
PDM18;20/07/2023;00:00:00;300.509994506836;Temperatura Ambiente
PDM19;20/07/2023;00:00:00;303.509994506836;Temperatura Ambiente
PDM20;20/07/2023;00:00:00;303.379993438721;Temperatura Ambiente
PDM21;20/07/2023;00:00:00;296.639993667603;Temperatura Ambiente
PDM22;20/07/2023;00:00:00;302.809993743896;Temperatura Ambiente
PDM23;20/07/2023;00:00:00;301.889993667603;Temperatura Ambiente
PDM24;20/07/2023;00:00:00;297.499994277954;Temperatura Ambiente
PDM25;20/07/2023;00:00:00;303.529993057251;Temperatura Ambiente
PDM26;20/07/2023;00:00:00;301.289993286133;Temperatura Ambiente
PDM27;20/07/2023;00:00:00;301.189994812012;Temperatura Ambiente
PDM1;19/07/2023;23:45:00;0.02475;Pressione a valle
PDM2;19/07/2023;23:45:00;0.0242999992370605;Pressione a valle
PDM3;19/07/2023;23:45:00;0.02375;Pressione a valle
PDM4;19/07/2023;23:45:00;0.0238500003814697;Pressione a valle
PDM5;19/07/2023;23:45:00;0.0243999996185303;Pressione a valle
PDM6;19/07/2023;23:45:00;0.0236000003814697;Pressione a valle
PDM7;19/07/2023;23:45:00;0.0233500003814697;Pressione a valle
PDM8;19/07/2023;23:45:00;0.0231499996185303;Pressione a valle
PDM9;19/07/2023;23:45:00;0.0236000003814697;Pressione a valle
PDM10;19/07/2023;23:45:00;0.0246499996185303;Pressione a valle
PDM11;19/07/2023;23:45:00;0.0253999996185303;Pressione a valle
PDM12;19/07/2023;23:45:00;0.0245;Pressione a valle
PDM13;19/07/2023;23:45:00;0.024;Pressione a valle
PDM14;19/07/2023;23:45:00;0.03875;Pressione a valle
PDM15;19/07/2023;23:45:00;0.0245499992370605;Pressione a valle
PDM16;19/07/2023;23:45:00;0.0232999992370605;Pressione a valle
PDM17;19/07/2023;23:45:00;0.0227999992370605;Pressione a valle
PDM18;19/07/2023;23:45:00;0.0238999996185303;Pressione a valle
PDM19;19/07/2023;23:45:00;0.0400999984741211;Pressione a valle
PDM20;19/07/2023;23:45:00;0.0389000015258789;Pressione a valle
PDM21;19/07/2023;23:45:00;0.0382999992370605;Pressione a valle
PDM22;19/07/2023;23:45:00;0.0397999992370605;Pressione a valle
PDM26;19/07/2023;23:45:00;0.0246000003814697;Pressione a valle
PDM27;19/07/2023;23:45:00;0.0242000007629395;Pressione a valle
PDM1;19/07/2023;23:45:00;294.439994812012;Temperatura Ambiente
PDM2;19/07/2023;23:45:00;294.459993362427;Temperatura Ambiente
PDM3;19/07/2023;23:45:00;295.339994430542;Temperatura Ambiente
PDM4;19/07/2023;23:45:00;294.744993209839;Temperatura Ambiente
PDM5;19/07/2023;23:45:00;298.609992980957;Temperatura Ambiente
